八	34
白	32511
勹	35
贝	2534
貝	2511134
鼻	32511125121132
比	1535
灬	4444
髟	1211154333
冫	41
癶	54334
卜	24
艹	122
镸	1211154
厂	13
车	1512
車	1251112
屮	522
辰	1311534
齿	21213452
齒	212134341343452
彳	332
赤	1213234
虫	251214
巛	555
辶	454
寸	124
大	134
歹	1354
刀	53
刂	22
斗	4412
豆	1251431
鬥	1121211212
儿	35
耳	122111
二	11
匚	15
方	4153
风	3534
風	353251214
缶	311252
阝	52
父	3434
戈	1534
革	122125112
艮	511534
工	121
弓	515
廾	132
骨	255452511
瓜	33544
卝	2121
广	413
鬼	325113554
丨	2
禾	31234
黑	254312114444
虍	215315
户	4513
火	4334
几	35
己	515
彐	511
见	2535
見	2511135
角	3535112
卩	52
巾	252
斤	3312
钅	31115
金	34112431
釒	34112431
冂	25
臼	321511
口	251
耒	111234
里	2511211
力	53
立	41431
龙	13534
龍	4143125111515111
卤	2125341
鹵	21253444441
鹿	41352211535
麻	41312341234
马	551
馬	1211254444
麦	1121354
麥	12343434354
毛	3115
门	425
門	25112511
米	431234
冖	45
糸	554234
宀	445
皿	25221
黽	2511251211511
母	55414
木	1234
目	25111
疒	41341
鸟	35451
鳥	32511154444
牛	3112
牜	3121
女	531
爿	5213
皮	53254
片	3215
丿	3
攴	2154
攵	3134
其	12211134
气	3115
凵	52
欠	3534
青	11212511
犭	353
犬	1344
人	34
亻	32
日	2511
山	252
彡	333
舌	312251
身	3251113
尸	513
十	12
饣	355
石	13251
飠	34451154
食	344511534
矢	31134
豕	1353334
士	121
礻	4524
示	11234
手	3112
扌	121
殳	3554
鼠	3215115445445
氵	441
水	2534
厶	54
纟	551
糹	554444
罒	25221
夊	354
田	25121
亠	41
土	121
瓦	1554
王	1121
囗	251
韦	1152
韋	521251152
文	4134
毋	5531
夕	354
覀	125221
小	234
忄	442
心	4544
辛	4143112
穴	44534
血	325221
疋	52134
讠	45
言	4111251
羊	431112
业	22431
页	132534
頁	132511134
一	1
衤	45234
衣	413534
乙	5
音	414312511
廴	54
用	35112
尢	135
酉	1253511
又	54
鱼	35251211
魚	35251214444
羽	541541
雨	12524444
聿	511112
月	3511
夂	354
止	2121
豸	3443533
舟	335414
丶	4
爪	3324
丬	412
隹	32411121
子	521
自	325111
走	1212134
足	2512134
	314314
